timestamp,machine_id,temperature,vibration,pressure,energy_consumption,machine_status,anomaly_flag
2025-01-01 00:16:00,22,84.52,28.09,2.81,3.36,1,0
2025-01-01 00:21:00,38,94.18,40.98,2.01,2.28,1,1
2025-01-01 00:25:00,12,76.01,40.21,4.28,1.63,1,0
2025-01-01 00:26:00,22,78.2,67.54,3.44,2.63,1,0
2025-01-01 00:33:00,16,99.5,46.89,4.41,3.67,1,1
2025-01-01 00:35:00,47,70.49,59.54,3.1,1.88,0,0
2025-01-01 00:43:00,18,81.42,50.89,4.88,2.06,2,0
2025-01-01 00:46:00,14,87.87,53.7,1.05,4.29,1,0
2025-01-01 00:53:00,47,53.44,44.55,1.36,0.69,1,0
2025-01-01 00:57:00,47,67.14,45.96,1.29,3.17,0,0
2025-01-01 00:59:00,14,78.45,34.43,4.18,4.35,0,0
2025-01-01 01:10:00,18,69.53,20.19,2.58,0.87,2,0
2025-01-01 01:13:00,34,78.99,91.58,3.32,4.15,1,1
2025-01-01 01:16:00,14,69.8,73.06,2.88,3.58,1,0
2025-01-01 01:21:00,14,79.73,35.41,4.29,2.95,1,0
2025-01-01 01:25:00,16,73.9,54.28,1.36,4.48,1,0
2025-01-01 01:27:00,18,68.65,75.47,2.42,2.74,0,0
2025-01-01 01:28:00,47,79.47,27.16,4.83,1.93,1,0
2025-01-01 01:37:00,1,62.59,48.08,1.62,4.16,1,0
2025-01-01 01:42:00,1,70.88,68.67,1.05,2.36,1,0
2025-01-01 02:00:00,12,77.26,46.18,3.52,3.54,1,0
2025-01-01 02:01:00,34,85.42,88.09,3.86,0.84,0,1
2025-01-01 02:10:00,22,69.53,54.42,3.29,2.42,1,0
2025-01-01 02:13:00,1,62.34,72.68,2.24,4.95,1,0
2025-01-01 02:16:00,47,80.08,46.5,3.69,1.53,1,0
2025-01-01 02:17:00,14,65.19,62.01,1.89,3.77,1,0
2025-01-01 02:19:00,1,88.03,53.36,3.08,2.25,1,0
2025-01-01 02:22:00,14,63.86,62.39,1.04,2.95,1,0
2025-01-01 02:31:00,32,62.22,48.82,1.39,1.69,1,0
2025-01-01 02:34:00,32,70.24,33.65,3.89,2.51,1,0
2025-01-01 02:46:00,32,95.34,61.4,2.3,4.6,1,1
2025-01-01 02:48:00,22,90.98,67.59,2.2,2.51,1,1
2025-01-01 03:05:00,1,79.39,49.44,2.54,2.76,1,0
2025-01-01 03:21:00,32,80.67,72.13,1.74,3.53,0,0
2025-01-01 03:22:00,32,79.68,59.26,1.63,1.31,1,0
2025-01-01 03:27:00,12,65.98,43.38,3.07,3.56,1,0
2025-01-01 03:41:00,32,76.43,70.55,4.83,3.66,0,0
2025-01-01 03:43:00,1,93.62,47.52,2.63,1.12,2,1
2025-01-01 03:48:00,32,82.65,65.8,3.12,1.02,1,0
2025-01-01 03:50:00,32,72.33,26.42,4.7,4.97,1,0
2025-01-01 03:54:00,38,73.72,63.17,3.09,2.16,1,0
2025-01-01 03:57:00,34,68.26,46.17,4.69,3.09,2,0
2025-01-01 03:59:00,22,81.63,67.34,2.73,4.56,1,0
2025-01-01 04:02:00,16,86.75,40.72,3.59,2.18,1,0
2025-01-01 04:06:00,16,57.48,51.91,3.0,2.06,1,0
2025-01-01 04:16:00,32,75.52,33.31,3.13,1.94,1,0
2025-01-01 04:22:00,18,77.3,37.81,2.59,2.13,1,0
2025-01-01 04:24:00,1,57.21,48.56,2.47,1.98,1,0
2025-01-01 04:35:00,16,86.69,68.3,3.47,3.63,1,0
2025-01-01 04:40:00,1,68.82,48.57,4.81,2.64,1,0
2025-01-01 04:42:00,12,56.95,14.54,1.76,2.13,1,0
2025-01-01 04:45:00,32,59.84,48.0,1.59,1.43,1,0
2025-01-01 04:51:00,16,61.23,86.34,3.82,3.11,1,1
2025-01-01 05:01:00,38,58.32,42.33,3.48,2.51,1,0
2025-01-01 05:10:00,18,78.98,71.08,4.51,3.55,1,0
2025-01-01 05:12:00,18,76.39,37.98,2.23,3.84,1,0
2025-01-01 05:15:00,16,61.57,61.44,1.44,4.06,1,0
2025-01-01 05:21:00,14,76.18,60.74,2.67,1.08,2,0
2025-01-01 05:31:00,12,78.89,76.78,3.03,3.92,1,0
2025-01-01 05:32:00,22,61.25,61.77,3.32,1.84,1,0
2025-01-01 05:33:00,22,76.85,38.29,3.81,4.46,1,0
2025-01-01 05:36:00,38,57.53,51.51,3.97,3.11,1,0
2025-01-01 05:37:00,38,62.49,28.8,1.18,1.04,1,0
2025-01-01 05:42:00,34,80.73,56.42,4.96,4.21,2,0
2025-01-01 05:47:00,47,78.69,63.72,4.59,4.23,1,0
2025-01-01 06:13:00,32,69.63,45.78,3.49,3.64,1,0
2025-01-01 06:17:00,18,90.72,64.3,1.48,2.28,0,1
2025-01-01 06:26:00,32,87.34,35.3,3.49,1.26,1,0
2025-01-01 06:27:00,47,80.69,53.54,4.59,1.18,1,0
2025-01-01 06:28:00,22,62.81,48.84,4.99,0.97,1,0
2025-01-01 06:54:00,1,62.79,46.85,3.03,2.31,1,0
2025-01-01 06:57:00,16,85.39,33.59,3.23,2.04,1,0
2025-01-01 06:58:00,14,69.13,52.45,3.3,4.83,2,0
2025-01-01 06:59:00,12,70.0,37.35,4.92,3.29,2,0
2025-01-01 07:03:00,34,72.91,57.12,4.96,1.72,0,0
2025-01-01 07:05:00,32,67.37,29.43,2.23,1.53,1,0
2025-01-01 07:07:00,22,69.74,54.63,2.77,4.48,1,0
2025-01-01 07:09:00,22,87.84,40.12,1.43,0.9,1,0
2025-01-01 07:10:00,22,83.51,41.12,3.58,0.9,1,0
2025-01-01 07:26:00,32,58.33,44.74,2.76,3.78,0,0
2025-01-01 07:28:00,47,79.17,42.93,1.88,3.26,0,0
2025-01-01 07:31:00,16,86.35,61.98,1.87,4.8,1,0
2025-01-01 07:45:00,12,82.03,53.19,2.6,0.81,1,0
2025-01-01 07:46:00,1,74.96,49.28,2.92,4.06,1,0
2025-01-01 07:47:00,1,71.61,50.89,3.01,0.9,1,0
2025-01-01 07:48:00,47,70.45,32.05,4.38,0.93,1,0
2025-01-01 07:49:00,34,81.28,38.1,3.53,4.17,1,0
2025-01-01 07:50:00,32,79.52,36.26,1.21,0.88,1,0
2025-01-01 07:55:00,1,67.16,43.9,4.26,0.81,1,0
2025-01-01 07:56:00,16,57.19,67.21,2.64,2.36,1,0
2025-01-01 07:59:00,22,99.87,52.58,1.36,4.76,0,1
2025-01-01 08:02:00,12,67.18,43.0,2.02,3.32,1,0
2025-01-01 08:04:00,16,69.96,54.9,2.15,1.26,1,0
2025-01-01 08:06:00,22,75.43,44.76,1.36,1.6,2,0
2025-01-01 08:08:00,14,74.51,52.18,1.28,3.71,1,0
2025-01-01 08:11:00,47,84.47,69.72,3.29,1.37,1,0
2025-01-01 08:16:00,12,79.06,65.54,4.17,0.7,1,0
2025-01-01 08:17:00,16,66.43,67.49,4.5,2.41,0,0
2025-01-01 08:31:00,34,84.36,52.5,4.95,0.85,1,0
2025-01-01 08:35:00,32,93.49,60.54,2.16,1.5,1,1
2025-01-01 08:36:00,1,79.11,47.71,3.19,4.34,1,0
2025-01-01 08:40:00,16,88.13,34.61,4.94,4.7,1,0
2025-01-01 08:42:00,16,77.26,44.39,1.52,3.02,2,0
2025-01-01 08:46:00,32,59.54,47.41,3.34,2.22,1,0
2025-01-01 08:50:00,12,68.84,56.17,4.31,1.73,1,0
2025-01-01 08:57:00,12,66.02,52.64,3.5,2.3,1,0
2025-01-01 08:59:00,1,82.87,79.72,1.09,2.03,2,0
2025-01-01 09:07:00,12,69.47,32.14,1.17,4.57,1,0
2025-01-01 09:21:00,34,87.26,44.39,4.11,4.93,0,0
2025-01-01 09:42:00,18,58.2,58.75,3.31,0.95,0,0
2025-01-01 09:45:00,32,71.7,58.99,1.3,2.42,1,0
2025-01-01 09:48:00,32,78.31,59.64,2.87,2.89,1,0
2025-01-01 09:50:00,12,81.13,67.0,4.83,2.52,1,0
2025-01-01 10:03:00,22,68.03,44.49,4.58,2.12,1,0
2025-01-01 10:08:00,12,71.66,48.06,3.66,4.15,2,0
2025-01-01 10:11:00,12,84.43,48.93,1.34,2.49,1,0
2025-01-01 10:15:00,14,87.33,50.43,1.15,2.54,0,0
2025-01-01 10:18:00,47,92.22,34.16,3.29,3.21,1,1
2025-01-01 10:19:00,16,67.03,46.88,1.16,3.71,1,0
2025-01-01 10:22:00,12,73.47,54.69,1.58,3.77,1,0
2025-01-01 10:27:00,16,96.39,60.39,1.52,2.8,1,1
2025-01-01 10:32:00,14,83.23,53.2,1.14,2.74,0,0
2025-01-01 10:40:00,18,64.67,78.75,1.67,1.86,0,0
2025-01-01 10:41:00,47,91.39,41.25,2.02,2.19,1,1
2025-01-01 10:42:00,12,72.27,63.02,3.71,3.71,1,0
2025-01-01 10:47:00,38,65.42,44.37,2.69,2.42,1,0
2025-01-01 11:00:00,38,79.16,51.17,4.48,1.71,1,0
2025-01-01 11:05:00,1,77.55,71.51,3.38,3.69,1,0
2025-01-01 11:06:00,22,72.69,56.1,1.83,1.32,0,0
2025-01-01 11:33:00,1,80.47,48.66,4.98,0.71,1,0
2025-01-01 11:40:00,38,70.18,65.85,4.22,1.69,1,0
2025-01-01 11:44:00,32,85.75,59.03,3.38,2.24,1,0
2025-01-01 11:46:00,47,68.25,50.64,2.38,0.9,1,0
2025-01-01 11:48:00,16,75.84,42.91,3.46,4.47,1,0
2025-01-01 11:56:00,18,72.27,50.5,2.44,2.37,1,0
2025-01-01 11:57:00,47,68.69,66.29,1.78,1.79,1,0
2025-01-01 12:00:00,14,91.18,71.43,2.78,1.02,1,1
2025-01-01 12:03:00,1,64.89,46.14,2.77,4.8,1,0
2025-01-01 12:05:00,16,65.42,33.59,1.29,3.76,1,0
2025-01-01 12:08:00,12,91.29,57.8,2.47,1.63,1,1
2025-01-01 12:10:00,32,73.59,69.48,2.03,4.29,1,0
2025-01-01 12:11:00,16,59.54,52.94,4.88,3.54,1,0
2025-01-01 12:13:00,38,92.0,53.3,3.11,3.9,1,1
2025-01-01 12:14:00,12,72.61,57.88,1.39,1.22,1,0
2025-01-01 12:41:00,18,87.09,73.8,2.98,1.3,0,0
2025-01-01 12:43:00,47,83.66,33.33,2.92,4.6,1,0
2025-01-01 12:52:00,1,69.48,46.44,1.51,4.19,1,0
2025-01-01 12:53:00,18,80.63,65.13,4.89,2.01,1,0
2025-01-01 12:54:00,32,90.18,55.82,3.41,3.8,1,1
2025-01-01 12:55:00,47,93.28,42.57,2.43,4.43,1,1
2025-01-01 13:01:00,22,69.13,24.3,3.95,3.19,0,0
2025-01-01 13:06:00,34,73.64,77.32,2.14,1.89,1,0
2025-01-01 13:09:00,1,71.05,65.95,4.06,2.72,1,0
2025-01-01 13:18:00,38,70.19,57.82,1.71,4.95,1,0
2025-01-01 13:28:00,14,76.05,26.9,4.28,2.02,2,0
2025-01-01 13:31:00,1,79.54,36.75,2.64,4.04,1,0
